scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-09-22,1101.TW,台泥,24.55,3K反轉、廣義上升三法、下降趨勢線突破,買,70,B可追蹤,0.63,>MA5,空頭,29359.8,tracking
2026-09-22,1102.TW,亞泥,35.45,3K反轉、KD高腳、下降趨勢線突破,買,83,A強勢追蹤,0.46,>MA5,糾結,6395.9,tracking
2026-09-22,1312.TW,國喬,14.7,廣義上升三法,買,68,B可追蹤,5.8,MA5~10,多頭,11671.0,tracking
2026-09-22,1560.TW,中砂,950.0,廣義上升三法、單跳空,買,85,A強勢追蹤,13.46,>MA5,多頭,3977.7,tracking
2026-09-22,1617.TW,榮星,19.6,Buy01、周1K,買,69,B可追蹤,5.3,>MA5,多頭,2087.3,tracking
2026-09-22,1709.TW,和益,45.95,廣義上升三法、三白兵、周1K,買,100,A強勢追蹤,12.94,>MA5,多頭,82713.7,tracking
2026-09-22,1721.TW,三晃,24.35,KD高腳、周1K,買,86,A強勢追蹤,8.41,>MA5,多頭,3128.2,tracking
2026-09-22,1727.TW,中華化,106.0,廣義上升三法,買,78,A強勢追蹤,6.84,>MA5,多頭,6823.3,tracking
2026-09-22,1809.TW,中釉,40.6,廣義上升三法,買,64,C觀察,4.23,>MA5,糾結,3752.3,tracking
2026-09-22,1904.TW,正隆,25.0,3K反轉、KD高腳、下降趨勢線突破,買,69,B可追蹤,0.23,>MA5,空頭,2205.7,tracking
2026-09-22,2006.TW,東和鋼鐵,86.1,廣義上升三法、Buy01,買,65,B可追蹤,2.3,>MA5,多頭,1509.6,tracking
2026-09-22,2009.TW,第一銅,40.1,3K反轉、廣義上升三法、下降趨勢線突破,買,81,A強勢追蹤,0.49,>MA5,糾結,1741.5,tracking
2026-09-22,2030.TW,彰源,27.25,廣義上升三法、布林縮窄突破、漲停、漲幅達標、周1K,買,100,A強勢追蹤,7.92,>MA5,多頭,11035.9,tracking
2026-09-22,2031.TW,新光鋼,45.65,3K反轉、廣義上升三法、下降趨勢線突破,買,81,A強勢追蹤,0.83,>MA5,糾結,1426.8,tracking
2026-09-22,2033.TW,佳大,37.3,廣義上升三法、漲停、漲幅達標、三白兵、周1K,買,100,A強勢追蹤,19.97,>MA5,多頭,1365.4,tracking
2026-09-22,2034.TW,允強,21.95,3K反轉、廣義上升三法、布林縮窄突破,買,100,A強勢追蹤,3.04,>MA5,多頭,7234.8,tracking
2026-09-22,2069.TW,運錩,25.6,廣義上升三法、下降趨勢線突破,買,73,B可追蹤,6.89,>MA5,多頭,4739.9,tracking
2026-09-22,2104.TW,國際中橡,10.6,3K反轉,買,63,C觀察,1.38,>MA5,多頭,3359.0,tracking
2026-09-22,2241.TW,艾姆勒,41.05,廣義上升三法、布林縮窄突破、漲停、漲幅達標,買,100,A強勢追蹤,8.77,>MA5,多頭,6314.0,tracking
2026-09-22,2303.TW,聯電,160.0,雙跳空、單跳空、下降趨勢線突破,買,89,A強勢追蹤,8.31,>MA5,多頭,285997.4,tracking
2026-09-22,2305.TW,全友,60.0,廣義上升三法,買,78,A強勢追蹤,23.9,>MA5,多頭,6782.8,tracking
