scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d
2026-07-29,2357.TW,華碩,761.0,即將黃金交叉,65,B可追蹤,3.12,>MA5,多頭,74.4,75.6,36.5,41.9,7.5305,-,-,tracking,1.0,,,,0.13,-5.12,0.13,-5.12,0.0
2026-07-29,2412.TW,中華電,140.5,週黃金交叉,68,B可追蹤,0.19,>MA5,多頭,82.4,77.8,47.7,47.7,0.5796,-,-,tracking,1.0,,,,0.36,-1.42,0.36,-1.42,0.0
2026-07-29,2530.TW,華建,20.65,趨勢突破,100,A強勢追蹤,1.9,>MA5,多頭,70.6,64.6,64.9,50.1,0.1208,趨勢突破,2.88,tracking,1.0,,,,2.18,-1.21,2.18,-1.21,0.0
2026-07-29,2540.TW,愛山林,57.8,週黃金交叉,92,A強勢追蹤,2.99,>MA5,多頭,69.3,58.9,55.3,45.7,0.3661,-,-,tracking,1.0,,,,3.63,-0.69,3.63,-0.69,0.0
2026-07-29,2615.TW,萬海,85.0,即將黃金交叉,58,C觀察,1.65,>MA5,多頭,63.1,64.7,67.0,61.8,0.4421,-,-,tracking,1.0,,,,1.41,-1.29,1.41,-1.29,0.0
2026-07-29,2849.TW,安泰銀,15.35,黃金交叉、週黃金交叉、MACD翻正,100,A強勢追蹤,2.42,>MA5,糾結,68.3,60.3,87.6,86.6,0.0163,-,-,tracking,1.0,,,,0.65,-0.98,0.65,-0.98,0.0
2026-07-29,2867.TW,三商壽,9.37,即將黃金交叉,60,C觀察,2.82,>MA5,多頭,64.0,66.9,84.2,78.0,0.0121,-,-,tracking,1.0,,,,3.52,-0.75,3.52,-0.75,0.0
2026-07-29,2880.TW,華南金,41.8,即將黃金交叉,60,C觀察,2.98,>MA5,多頭,83.7,85.8,89.9,80.3,0.069,-,-,tracking,1.0,,,,2.03,-1.56,2.03,-1.56,0.0
2026-07-29,2884.TW,玉山金,36.5,黃金交叉,82,A強勢追蹤,2.38,>MA5,多頭,69.6,68.9,77.5,68.6,0.0868,-,-,tracking,1.0,,,,3.56,-0.41,3.56,-0.41,0.0
2026-07-29,2903.TW,遠百,22.35,趨勢突破,89,A強勢追蹤,0.73,>MA5,糾結,63.7,61.5,29.9,35.7,0.0306,趨勢突破,1.82,tracking,1.0,,,,1.12,-0.45,1.12,-0.45,0.0
