scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-08-18,1444.TW,力麗,7.3,廣義上升三法、KD高腳,買,56,C觀察,-1.51,>MA5,糾結,2395.5,tracking
2026-08-18,1455.TW,集盛,10.0,3K反轉、廣義上升三法,買,81,A強勢追蹤,2.56,>MA5,多頭,1645.7,tracking
2026-08-18,1709.TW,和益,32.7,廣義上升三法、周1K,買,83,A強勢追蹤,7.49,>MA5,多頭,7844.1,tracking
2026-08-18,1727.TW,中華化,89.1,廣義上升三法、雙跳空、漲幅達標、單跳空,買,100,A強勢追蹤,5.54,>MA5,多頭,14524.0,tracking
2026-08-18,1909.TW,榮成,11.1,周1K,買,64,C觀察,4.25,>MA5,多頭,7358.1,tracking
2026-08-18,2027.TW,大成鋼,49.7,廣義上升三法,買,73,B可追蹤,5.27,>MA5,多頭,15772.4,tracking
2026-08-18,2059.TW,川湖,14370.0,雙跳空、單跳空,買,73,B可追蹤,16.79,>MA5,多頭,1534.9,tracking
2026-08-18,2103.TW,台橡,27.85,廣義上升三法,買,70,B可追蹤,3.66,>MA5,多頭,5075.6,tracking
2026-08-18,2301.TW,光寶科,273.5,廣義上升三法,買,78,A強勢追蹤,6.78,>MA5,多頭,40825.2,tracking
2026-08-18,2302.TW,麗正,45.3,3K反轉,買,71,B可追蹤,2.58,>MA5,多頭,9726.6,tracking
2026-08-18,2331.TW,精英,20.25,廣義上升三法,買,67,B可追蹤,1.45,>MA5,多頭,3828.1,tracking
2026-08-18,2342.TW,茂矽,41.0,廣義上升三法,買,70,B可追蹤,2.62,>MA5,多頭,6989.9,tracking
2026-08-18,2351.TW,順德,176.0,廣義上升三法、下降趨勢線突破,買,70,B可追蹤,2.6,>MA5,多頭,6298.3,tracking
2026-08-18,2359.TW,所羅門,177.5,周1K,買,73,B可追蹤,10.87,>MA5,多頭,34410.9,tracking
2026-08-18,2368.TW,金像電,1070.0,KD高腳、下降趨勢線突破,買,68,B可追蹤,4.58,>MA5,多頭,14235.0,tracking
2026-08-18,2395.TW,研華,679.0,周1K,買,55,C觀察,4.37,MA5~10,多頭,3690.6,tracking
2026-08-18,2466.TW,冠西電,97.0,3K反轉、KD高腳、漲幅達標,買,55,C觀察,-2.34,>MA5,空頭,3246.0,tracking
2026-08-18,2491.TW,吉祥全,39.2,周1K,買,69,B可追蹤,8.24,>MA5,多頭,2482.0,tracking
2026-08-18,2520.TW,冠德,35.9,廣義上升三法、Buy01、周1K,買,80,A強勢追蹤,0.98,>MA5,多頭,1387.7,tracking
2026-08-18,2542.TW,興富發,47.75,廣義上升三法、布林縮窄突破、周1K,買,100,A強勢追蹤,3.09,>MA5,多頭,16464.9,tracking
2026-08-18,2601.TW,益航,6.82,廣義上升三法、島狀反轉、KD高腳、漲停、漲幅達標、單跳空、周1K,買,100,A強勢追蹤,1.98,>MA5,空頭,4858.5,tracking
2026-08-18,2603.TW,長榮,238.0,廣義上升三法、周1K,買,92,A強勢追蹤,5.14,>MA5,多頭,30572.5,tracking
2026-08-18,2605.TW,新興,35.2,布林縮窄突破、KD高腳、單跳空、周1K,買,100,A強勢追蹤,4.08,>MA5,多頭,24161.2,tracking
2026-08-18,2606.TW,裕民,69.0,周1K,買,69,B可追蹤,2.65,>MA5,多頭,5989.8,tracking
2026-08-18,2609.TW,陽明,56.2,廣義上升三法、布林縮窄突破、周1K,買,100,A強勢追蹤,3.66,>MA5,多頭,86637.7,tracking
2026-08-18,2611.TW,志信,15.4,廣義上升三法、周1K,買,80,A強勢追蹤,3.41,>MA5,多頭,1354.8,tracking
2026-08-18,2612.TW,中航,56.7,雙跳空、單跳空、周1K,買,91,A強勢追蹤,2.59,>MA5,多頭,1296.0,tracking
2026-08-18,2613.TW,中櫃,21.8,廣義上升三法、布林縮窄突破,買,72,B可追蹤,1.84,>MA5,多頭,1249.9,tracking
2026-08-18,2615.TW,萬海,105.0,廣義上升三法、布林縮窄突破、周1K,買,100,A強勢追蹤,8.68,>MA5,多頭,70912.5,tracking
2026-08-18,2617.TW,台航,29.85,廣義上升三法、布林縮窄突破、KD高腳、單跳空、周1K,買,100,A強勢追蹤,0.94,>MA5,多頭,2281.3,tracking
2026-08-18,2637.TW,慧洋-KY,88.7,Buy01、KD高腳,買,77,A強勢追蹤,2.14,>MA5,多頭,3114.0,tracking
2026-08-18,2851.TW,中再保,39.3,廣義上升三法,買,65,B可追蹤,3.69,>MA5,多頭,2601.8,tracking
2026-08-18,2881.TW,富邦金,129.5,Buy01、KD高腳、下降趨勢線突破,買,82,A強勢追蹤,1.19,>MA5,多頭,22365.4,tracking
2026-08-18,2891.TW,中信金,66.5,3K反轉、廣義上升三法、Buy01,買,95,A強勢追蹤,1.11,>MA5,多頭,26504.6,tracking
2026-08-18,2913.TW,農林,11.1,3K反轉、廣義上升三法、下降趨勢線突破,買,66,B可追蹤,-0.25,>MA5,糾結,2150.5,tracking
2026-08-18,2915.TW,潤泰全,60.8,廣義上升三法,買,77,A強勢追蹤,6.01,>MA5,多頭,6637.5,tracking
2026-08-18,3003.TW,健和興,67.9,3K反轉,買,62,C觀察,2.13,MA5~10,多頭,1229.2,tracking
2026-08-18,3008.TW,大立光,5290.0,廣義上升三法、周1K,買,88,A強勢追蹤,10.49,>MA5,多頭,3720.6,tracking
2026-08-18,3037.TW,欣興,1145.0,廣義上升三法、周1K,買,88,A強勢追蹤,10.35,>MA5,多頭,38481.2,tracking
2026-08-18,3044.TW,健鼎,488.5,巧妙點,買,74,B可追蹤,6.37,>MA5,多頭,3066.2,tracking
2026-08-18,3167.TW,大量,770.0,廣義上升三法、島狀反轉、KD高腳、漲停、漲幅達標、單跳空,買,100,A強勢追蹤,6.75,>MA5,多頭,5841.2,tracking
2026-08-18,3406.TW,玉晶光,685.0,廣義上升三法、周1K,買,88,A強勢追蹤,11.35,>MA5,多頭,5612.5,tracking
2026-08-18,3450.TW,聯鈞,579.0,廣義上升三法、單跳空、周1K,買,100,A強勢追蹤,11.11,>MA5,多頭,22373.9,tracking
2026-08-18,3543.TW,州巧,42.6,廣義上升三法、周1K,買,79,A強勢追蹤,11.57,>MA5,多頭,1861.0,tracking
2026-08-18,3665.TW,貿聯-KY,2240.0,3K反轉、下降趨勢線突破,買,61,C觀察,2.78,>MA5,糾結,3103.4,tracking
2026-08-18,4540.TW,全球傳動,61.7,巧妙點,買,69,B可追蹤,5.25,>MA5,多頭,3303.7,tracking
2026-08-18,5434.TW,崇越,553.0,3K反轉、廣義上升三法、KD高腳、漲幅達標、下降趨勢線突破、周1K,買,100,A強勢追蹤,1.48,>MA5,糾結,2800.1,tracking
2026-08-18,5515.TW,建國,54.2,廣義上升三法、周1K,買,88,A強勢追蹤,9.42,>MA5,多頭,1738.0,tracking
2026-08-18,5607.TW,遠雄港,53.0,周1K,買,60,C觀察,2.23,>MA5,多頭,1797.2,tracking
2026-08-18,5608.TW,四維航,15.95,廣義上升三法、漲停、漲幅達標、單跳空、下降趨勢線突破、周1K,買,100,A強勢追蹤,5.92,>MA5,多頭,14611.0,tracking
2026-08-18,6108.TW,競國,23.6,廣義上升三法、周1K,買,92,A強勢追蹤,11.67,>MA5,多頭,3489.0,tracking
2026-08-18,6141.TW,柏承,41.25,廣義上升三法、島狀反轉、漲幅達標、單跳空、周1K,買,100,A強勢追蹤,5.78,>MA5,多頭,7785.1,tracking
2026-08-18,6213.TW,聯茂,488.0,廣義上升三法,買,78,A強勢追蹤,10.37,>MA5,多頭,3592.2,tracking
