scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-08-25,1102.TW,亞泥,34.9,廣義上升三法,買,62,C觀察,1.99,>MA5,多頭,8901.1,tracking
2026-08-25,1216.TW,統一,77.9,3K反轉、廣義上升三法,買,78,A強勢追蹤,0.61,>MA5,多頭,13126.6,tracking
2026-08-25,1409.TW,新纖,24.45,廣義上升三法,買,59,C觀察,2.93,>MA5,糾結,7032.9,tracking
2026-08-25,1563.TW,巧新,65.1,3K反轉、KD高腳,買,85,A強勢追蹤,3.44,>MA5,多頭,2013.7,tracking
2026-08-25,1605.TW,華新,38.45,廣義上升三法,買,63,C觀察,5.58,>MA5,糾結,19625.6,tracking
2026-08-25,1608.TW,華榮,36.6,KD高腳、上升趨勢線跌破,買,66,B可追蹤,6.24,>MA5,糾結,2431.4,tracking
2026-08-25,1708.TW,東鹼,50.6,廣義上升三法,買,63,C觀察,0.62,>MA5,多頭,2854.7,tracking
2026-08-25,1710.TW,東聯,15.9,3K反轉、Buy01,買,71,B可追蹤,4.18,>MA5,多頭,8942.0,tracking
2026-08-25,1711.TW,永光,41.25,巧妙點,買,69,B可追蹤,6.31,>MA5,多頭,3165.2,tracking
2026-08-25,1712.TW,興農,40.0,廣義上升三法,買,58,C觀察,0.64,>MA5,多頭,1208.2,tracking
2026-08-25,1727.TW,中華化,91.3,廣義上升三法,買,78,A強勢追蹤,5.78,>MA5,多頭,4421.5,tracking
2026-08-25,1802.TW,台玻,58.0,廣義上升三法,買,60,C觀察,4.38,>MA5,糾結,20573.9,tracking
2026-08-25,1808.TW,潤隆,36.35,廣義上升三法,買,78,A強勢追蹤,5.05,>MA5,多頭,2127.0,tracking
2026-08-25,2030.TW,彰源,23.65,廣義上升三法、KD高腳、周1K,買,100,A強勢追蹤,9.82,>MA5,多頭,4672.6,tracking
2026-08-25,2031.TW,新光鋼,46.35,廣義上升三法、巧妙點,買,76,A強勢追蹤,4.28,>MA5,多頭,1306.9,tracking
2026-08-25,2033.TW,佳大,23.75,漲幅達標,買,60,C觀察,12.12,>MA5,多頭,1101.5,tracking
2026-08-25,2103.TW,台橡,28.1,巧妙點,買,69,B可追蹤,6.65,>MA5,多頭,2862.9,tracking
2026-08-25,2301.TW,光寶科,296.0,周1K,買,73,B可追蹤,10.95,>MA5,多頭,73754.1,tracking
2026-08-25,2303.TW,聯電,125.0,廣義上升三法,買,60,C觀察,3.01,>MA5,糾結,124820.8,tracking
2026-08-25,2313.TW,華通,217.5,廣義上升三法、KD高腳,買,88,A強勢追蹤,4.31,>MA5,多頭,18185.1,tracking
2026-08-25,2330.TW,台積電,2400.0,廣義上升三法、Buy01、KD高腳,買,87,A強勢追蹤,1.21,>MA5,糾結,13467.0,tracking
