scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-09-15,1312.TW,國喬,14.35,巧妙點,買,59,C觀察,5.56,MA10~20,多頭,9856.0,tracking
2026-09-15,1528.TW,恩德,24.65,雙跳空、單跳空、三白兵,買,93,A強勢追蹤,9.32,>MA5,多頭,37044.4,tracking
2026-09-15,2305.TW,全友,44.95,三白兵、周1K,買,73,B可追蹤,18.02,>MA5,多頭,93548.2,tracking
2026-09-15,2351.TW,順德,251.5,周1K,買,68,B可追蹤,9.68,>MA5,多頭,12688.5,tracking
2026-09-15,2427.TW,三商電,24.35,3K反轉、廣義上升三法、布林縮窄突破、Buy01、周1K,買,100,A強勢追蹤,4.04,>MA5,多頭,5278.0,tracking
2026-09-15,2468.TW,華經,43.25,布林縮窄突破、雙跳空、雙漲停、漲停、漲幅達標、單跳空、三白兵、周1K,買,100,A強勢追蹤,11.61,>MA5,多頭,7140.4,tracking
2026-09-15,2471.TW,資通,51.7,布林縮窄突破,買,69,B可追蹤,2.06,>MA5,多頭,1982.8,tracking
2026-09-15,2884.TW,玉山金,46.35,廣義上升三法,買,77,A強勢追蹤,5.53,>MA5,多頭,42521.7,tracking
2026-09-15,2891.TW,中信金,69.7,KD高腳、單跳空、下降趨勢線突破,買,89,A強勢追蹤,1.41,>MA5,多頭,59264.4,tracking
2026-09-15,2905.TW,三商,18.85,布林縮窄突破、Buy01、下降趨勢線突破,買,74,B可追蹤,1.9,>MA5,多頭,2363.8,tracking
2026-09-15,3029.TW,零壹,118.5,Buy01,買,59,C觀察,3.25,>MA5,多頭,7846.3,tracking
2026-09-15,3045.TW,台灣大,124.0,廣義上升三法、布林縮窄突破、Buy01,買,100,A強勢追蹤,3.28,>MA5,多頭,10439.9,tracking
2026-09-15,3055.TW,蔚華科,157.5,周1K,買,56,C觀察,7.78,>MA5,多頭,1361.6,tracking
2026-09-15,3311.TW,閎暉,36.8,3K反轉、廣義上升三法、布林縮窄突破,買,100,A強勢追蹤,6.73,>MA5,多頭,2307.6,tracking
2026-09-15,3591.TW,艾笛森,23.65,廣義上升三法,買,60,C觀察,3.17,MA5~10,多頭,1276.9,tracking
2026-09-15,4915.TW,致伸,65.6,廣義上升三法,買,74,B可追蹤,3.74,>MA5,多頭,8251.2,tracking
2026-09-15,4961.TW,天鈺,178.5,Buy01、下降趨勢線突破、周1K,買,72,B可追蹤,2.35,>MA5,多頭,1266.8,tracking
2026-09-15,5876.TW,上海商銀,49.8,周1K,買,64,C觀察,3.37,>MA5,多頭,5625.1,tracking
2026-09-15,6214.TW,精誠,190.0,廣義上升三法、Buy01,買,74,B可追蹤,2.09,>MA5,多頭,3383.9,tracking
2026-09-15,6226.TW,光鼎,36.3,雙漲停、KD高腳、漲停、漲幅達標、單跳空、三白兵、下降趨勢線突破、周1K,買,100,A強勢追蹤,17.29,>MA5,糾結,81110.3,tracking
2026-09-15,6861.TW,睿生光電,228.0,三白兵,買,63,C觀察,6.38,>MA5,多頭,3936.1,tracking
2026-09-15,8072.TW,陞泰,26.95,廣義上升三法、布林縮窄突破,買,67,B可追蹤,1.04,>MA5,糾結,1107.0,tracking
2026-09-15,9933.TW,中鼎,41.9,廣義上升三法,買,57,C觀察,1.56,>MA5,糾結,3418.0,tracking
2026-09-15,2221.TWO,大甲,96.1,廣義上升三法,買,73,B可追蹤,14.72,>MA5,多頭,7250.6,tracking
2026-09-15,3105.TWO,穩懋,454.0,3K反轉,買,79,A強勢追蹤,5.28,>MA5,多頭,35882.7,tracking
2026-09-15,3141.TWO,晶宏,91.6,3K反轉、下降趨勢線突破,買,69,B可追蹤,5.25,>MA5,糾結,5168.3,tracking
2026-09-15,3176.TWO,基亞,38.05,3K反轉、Buy01、下降趨勢線突破,買,69,B可追蹤,2.69,>MA5,糾結,1019.9,tracking
2026-09-15,3354.TWO,律勝,27.75,廣義上升三法,買,64,C觀察,6.19,MA5~10,多頭,1548.9,tracking
2026-09-15,3441.TWO,聯一光,169.5,廣義上升三法、三白兵,買,70,B可追蹤,21.0,>MA5,多頭,37816.6,tracking
2026-09-15,3580.TWO,友威科,88.0,3K反轉、島狀反轉、漲幅達標、單跳空、下降趨勢線突破,買,96,A強勢追蹤,2.57,>MA5,糾結,1133.0,tracking
2026-09-15,3624.TWO,光頡,123.5,廣義上升三法,買,73,B可追蹤,13.81,>MA5,多頭,33140.1,tracking
2026-09-15,5202.TWO,力新,14.15,布林縮窄突破、雙漲停、漲停、漲幅達標,買,100,A強勢追蹤,7.8,>MA5,多頭,1996.1,tracking
2026-09-15,6147.TWO,頎邦,200.0,島狀反轉、單跳空、下降趨勢線突破,買,86,A強勢追蹤,5.61,>MA5,多頭,64508.8,tracking
2026-09-15,6148.TWO,驊宏資,37.5,雙跳空、雙漲停、漲停、漲幅達標、單跳空、三白兵、周1K,買,100,A強勢追蹤,13.38,>MA5,多頭,4827.1,tracking
2026-09-15,6179.TWO,亞通,34.85,廣義上升三法,買,73,B可追蹤,6.15,MA5~10,多頭,9446.4,tracking
