scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-08-31,1301.TW,台塑,66.2,廣義上升三法、周1K,買,87,A強勢追蹤,7.67,>MA5,多頭,63198.4,tracking
2026-08-31,1303.TW,南亞,242.5,廣義上升三法、漲停、漲幅達標、三白兵、周1K,買,100,A強勢追蹤,15.94,>MA5,多頭,169405.6,tracking
2026-08-31,1304.TW,台聚,12.65,廣義上升三法、布林縮窄突破、下降趨勢線突破,買,100,A強勢追蹤,3.99,>MA5,多頭,5150.5,tracking
2026-08-31,1305.TW,華夏,12.55,3K反轉、KD高腳、下降趨勢線突破,買,100,A強勢追蹤,3.99,>MA5,多頭,2586.4,tracking
2026-08-31,1308.TW,亞聚,14.4,3K反轉、廣義上升三法、Buy01、KD高腳、下降趨勢線突破,買,100,A強勢追蹤,3.71,>MA5,多頭,3015.3,tracking
2026-08-31,1309.TW,台達化,13.45,廣義上升三法,買,74,B可追蹤,2.02,>MA5,多頭,3113.6,tracking
2026-08-31,1310.TW,台苯,8.75,廣義上升三法,買,82,A強勢追蹤,5.39,>MA5,多頭,3861.7,tracking
2026-08-31,1312.TW,國喬,15.55,廣義上升三法、漲停、漲幅達標、三白兵、周1K,買,100,A強勢追蹤,13.33,>MA5,多頭,108377.8,tracking
2026-08-31,1313.TW,聯成,12.15,廣義上升三法、Buy01、KD高腳,買,100,A強勢追蹤,3.89,>MA5,多頭,3721.3,tracking
2026-08-31,1314.TW,中石化,8.18,KD高腳,買,70,B可追蹤,1.83,>MA5,多頭,23223.3,tracking
2026-08-31,1326.TW,台化,68.3,廣義上升三法、布林縮窄突破、漲停、漲幅達標、周1K,買,100,A強勢追蹤,8.16,>MA5,多頭,71133.7,tracking
2026-08-31,1409.TW,新纖,24.6,KD高腳,買,72,B可追蹤,2.84,MA5~10,多頭,11594.3,tracking
2026-08-31,1434.TW,福懋,18.15,Buy01、KD高腳,買,66,B可追蹤,1.66,>MA5,多頭,1819.5,tracking
2026-08-31,1563.TW,巧新,66.0,廣義上升三法,買,73,B可追蹤,5.74,>MA5,多頭,3214.6,tracking
2026-08-31,1605.TW,華新,39.2,廣義上升三法,買,69,B可追蹤,4.38,>MA5,多頭,22222.9,tracking
2026-08-31,1608.TW,華榮,37.7,廣義上升三法、上升趨勢線跌破,買,69,B可追蹤,4.57,>MA5,多頭,3259.2,tracking
2026-08-31,1710.TW,東聯,16.35,3K反轉、廣義上升三法、KD高腳、下降趨勢線突破、周1K,買,100,A強勢追蹤,5.48,>MA5,多頭,6145.2,tracking
2026-08-31,1712.TW,興農,39.95,廣義上升三法,買,62,C觀察,0.59,>MA5,多頭,9176.3,tracking
2026-08-31,1714.TW,和桐,16.9,Buy01、KD高腳、下降趨勢線突破,買,75,A強勢追蹤,3.82,>MA5,糾結,9935.6,tracking
2026-08-31,1717.TW,長興,82.5,廣義上升三法、周1K,買,83,A強勢追蹤,9.35,>MA5,多頭,53258.6,tracking
2026-08-31,1718.TW,中纖,10.9,廣義上升三法,買,70,B可追蹤,2.88,>MA5,多頭,13533.9,tracking
2026-08-31,1727.TW,中華化,99.9,廣義上升三法,買,78,A強勢追蹤,9.4,>MA5,多頭,10189.8,tracking
2026-08-31,1802.TW,台玻,60.8,廣義上升三法,買,73,B可追蹤,6.6,>MA5,多頭,28707.7,tracking
2026-08-31,1905.TW,華紙,13.7,廣義上升三法,買,58,C觀察,1.84,>MA5,多頭,1995.4,tracking
2026-08-31,1909.TW,榮成,11.1,3K反轉、廣義上升三法、Buy01,買,92,A強勢追蹤,2.88,>MA5,糾結,4401.9,tracking
2026-08-31,2023.TW,燁輝,14.15,3K反轉、布林縮窄突破、KD高腳、下降趨勢線突破、周1K,買,100,A強勢追蹤,0.94,>MA5,糾結,2223.7,tracking
2026-08-31,2033.TW,佳大,26.0,單跳空,買,70,B可追蹤,14.92,>MA5,多頭,4337.2,tracking
2026-08-31,2103.TW,台橡,28.4,Buy01、巧妙點、KD高腳,買,99,A強勢追蹤,6.67,>MA5,多頭,2908.9,tracking
2026-08-31,2201.TW,裕隆,29.75,3K反轉、廣義上升三法、KD高腳、周1K,買,100,A強勢追蹤,2.08,>MA5,糾結,7240.7,tracking
2026-08-31,2303.TW,聯電,129.0,廣義上升三法,買,65,B可追蹤,2.71,>MA5,多頭,217234.1,tracking
2026-08-31,2313.TW,華通,248.5,廣義上升三法,買,78,A強勢追蹤,9.73,>MA5,多頭,67503.4,tracking
2026-08-31,2323.TW,中環,10.95,KD高腳,買,68,B可追蹤,2.25,>MA5,多頭,2527.5,tracking
2026-08-31,2324.TW,仁寶,40.35,廣義上升三法,買,63,C觀察,1.69,>MA5,多頭,54492.1,tracking
2026-08-31,2337.TW,旺宏,126.0,廣義上升三法,買,55,C觀察,3.36,>MA5,糾結,35904.9,tracking
2026-08-31,2344.TW,華邦電,182.5,廣義上升三法,買,73,B可追蹤,6.07,>MA5,多頭,340675.6,tracking
2026-08-31,2351.TW,順德,232.5,巧妙點,買,69,B可追蹤,11.68,>MA5,多頭,5554.8,tracking
2026-08-31,2354.TW,鴻準,64.7,廣義上升三法、Buy01,買,74,B可追蹤,4.32,>MA5,多頭,14081.8,tracking
