scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status,source_file,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d,return_1d%,return_20d%,max_gain_20d%,max_drawdown_20d%,訊號方向,成交量(張),is_profitable_5d,is_clean_win_5d
2026-07-28,5876.TW,上海商銀,46.53,跳空、黃金交叉,81.0,A強勢追蹤,2.57,>MA5,多頭,81.7,78.2,91.3,84.1,0.1955,-,-,done,signal_tracking_20260806.csv,14.0,-2.32,-5.11,-7.37,-1.78,-6.3,-1.78,-8.23,0.0,-4.69,,-1.78,-10.49,,,0.0,0.0
2026-07-28,8050.TWO,廣積,61.3,週黃金交叉,96.0,A強勢追蹤,5.86,>MA5,多頭,61.6,56.0,62.7,60.9,0.1328,-,-,done,signal_tracking_20260806.csv,14.0,-10.93,-3.75,0.49,3.59,-14.36,13.21,-14.36,0.0,-0.82,,13.21,-14.36,,,0.0,0.0
2026-07-28,8271.TW,宇瞻,205.0,週黃金交叉,78.0,A強勢追蹤,2.68,MA5~10,多頭,74.6,71.6,34.3,34.0,4.3379,-,-,done,signal_tracking_20260806.csv,14.0,8.78,9.27,14.39,11.71,-2.2,21.71,-2.2,1.0,8.54,,21.71,-2.2,,,1.0,1.0
2026-07-28,9907.TW,統一實,15.2,黃金交叉、週即將黃金交叉、趨勢突破,83.0,A強勢追蹤,-0.12,>MA5,空頭,51.4,48.9,14.3,15.2,0.0413,趨勢突破,1.11,done,signal_tracking_20260806.csv,14.0,-1.32,-2.96,-2.63,1.97,-3.29,1.97,-5.59,0.0,0.33,,1.97,-5.59,,,0.0,0.0
2026-07-29,1104.TW,環泥,26.85,趨勢突破,86.0,A強勢追蹤,0.34,>MA5,糾結,44.1,34.3,17.6,24.4,0.044,趨勢突破,2.02,done,signal_tracking_20260806.csv,13.0,0.19,-1.68,-0.74,2.61,-1.86,2.61,-1.86,0.0,1.3,,2.61,-1.86,,,0.0,0.0
2026-07-29,1218.TW,泰山,16.0,跳空、黃金交叉、MACD翻正、趨勢突破,66.0,B可追蹤,-2.15,>MA5,空頭,23.0,21.8,9.5,12.8,0.007,趨勢突破,1.51,done,signal_tracking_20260806.csv,13.0,-1.88,-3.12,-2.81,1.87,-5.0,1.87,-5.0,0.0,1.56,,1.87,-11.56,,,0.0,0.0
2026-07-29,1476.TW,儒鴻,338.5,週黃金交叉,66.0,B可追蹤,1.79,>MA5,糾結,54.7,53.5,45.5,43.5,0.5498,-,-,done,signal_tracking_20260806.csv,13.0,2.36,4.87,-4.14,5.91,-1.18,8.71,-4.28,1.0,3.99,,8.71,-6.79,,,1.0,1.0
2026-07-29,1526.TW,日馳,18.9,漲幅達標、黃金交叉,84.0,A強勢追蹤,9.32,>MA5,多頭,71.8,66.7,63.3,44.6,0.3042,-,-,done,signal_tracking_20260806.csv,13.0,-3.17,-7.67,-1.85,9.52,-8.73,9.52,-8.73,0.0,-1.85,,9.52,-10.05,,,0.0,0.0
2026-07-29,1598.TW,岱宇,20.75,跳空、即將黃金交叉、週黃金交叉、趨勢突破,100.0,A強勢追蹤,2.82,>MA5,糾結,57.8,58.3,40.9,33.4,0.1127,趨勢突破,25.58,done,signal_tracking_20260806.csv,13.0,-2.89,-2.89,-0.72,1.69,-5.3,1.69,-5.3,0.0,-4.58,,1.69,-5.3,,,0.0,0.0
2026-07-29,1907.TW,永豐餘,28.45,黃金交叉,69.0,B可追蹤,1.27,>MA5,多頭,43.1,39.7,74.9,70.5,-0.0625,-,-,done,signal_tracking_20260806.csv,13.0,2.46,4.57,5.98,4.92,-0.53,10.02,-0.53,0.0,1.93,,10.02,-0.7,,,1.0,0.0
