scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-08-24,1216.TW,統一,77.4,廣義上升三法,買,62,C觀察,0.71,>MA5,多頭,12938.4,tracking
2026-08-24,1471.TW,首利,10.3,廣義上升三法、布林縮窄突破、下降趨勢線突破,買,91,A強勢追蹤,2.9,>MA5,多頭,1786.3,tracking
2026-08-24,1605.TW,華新,38.1,3K反轉、Buy01、巧妙點、島狀反轉、單跳空,買,100,A強勢追蹤,3.11,>MA5,糾結,31595.1,tracking
2026-08-24,1608.TW,華榮,36.7,3K反轉、單跳空,買,72,B可追蹤,4.79,>MA5,糾結,6254.6,tracking
2026-08-24,1709.TW,和益,34.65,廣義上升三法、單跳空,買,85,A強勢追蹤,7.79,>MA5,多頭,20621.3,tracking
2026-08-24,1727.TW,中華化,90.0,巧妙點,買,64,C觀察,5.42,MA5~10,多頭,3662.3,tracking
2026-08-24,2006.TW,東和鋼鐵,82.5,Buy01、單跳空、下降趨勢線突破,買,64,C觀察,3.27,>MA5,糾結,2068.9,tracking
2026-08-24,2009.TW,第一銅,41.9,KD高腳、單跳空、下降趨勢線突破,買,81,A強勢追蹤,3.71,>MA5,糾結,8253.8,tracking
2026-08-24,2027.TW,大成鋼,51.0,3K反轉,買,75,A強勢追蹤,3.18,>MA5,多頭,15773.5,tracking
2026-08-24,2103.TW,台橡,28.3,巧妙點,買,69,B可追蹤,6.21,>MA5,多頭,6457.5,tracking
2026-08-24,2301.TW,光寶科,287.0,KD高腳、漲停、漲幅達標、下降趨勢線突破、周1K,買,100,A強勢追蹤,8.29,>MA5,多頭,44354.6,tracking
2026-08-24,2303.TW,聯電,123.5,島狀反轉、KD高腳、單跳空、下降趨勢線突破,買,70,B可追蹤,-0.01,>MA5,糾結,195911.8,tracking
2026-08-24,2324.TW,仁寶,41.6,3K反轉、島狀反轉、單跳空,買,84,A強勢追蹤,2.44,>MA5,糾結,136593.0,tracking
2026-08-24,2351.TW,順德,200.5,3K反轉、廣義上升三法、漲停、漲幅達標、單跳空、下降趨勢線突破,買,100,A強勢追蹤,8.39,>MA5,多頭,7878.5,tracking
2026-08-24,2357.TW,華碩,923.0,巧妙點,買,57,C觀察,3.8,>MA5,多頭,1670.0,tracking
2026-08-24,2362.TW,藍天,48.85,3K反轉、Buy01,買,57,C觀察,2.25,>MA5,糾結,1424.8,tracking
2026-08-24,2392.TW,正崴,44.25,KD高腳,買,76,A強勢追蹤,5.03,>MA5,多頭,7779.3,tracking
2026-08-24,2399.TW,映泰,47.75,3K反轉、KD高腳,買,97,A強勢追蹤,5.57,>MA5,多頭,13909.3,tracking
2026-08-24,2426.TW,鼎元,82.6,雙跳空、單跳空,買,72,B可追蹤,9.08,>MA5,多頭,63300.2,tracking
2026-08-24,2465.TW,麗臺,91.7,3K反轉,買,56,C觀察,3.75,>MA5,糾結,5078.0,tracking
2026-08-24,2474.TW,可成,204.5,3K反轉、Buy01、下降趨勢線突破,買,61,C觀察,1.79,>MA5,糾結,1744.9,tracking
2026-08-24,2489.TW,瑞軒,36.9,雙跳空、單跳空,買,77,A強勢追蹤,7.63,>MA5,多頭,70162.9,tracking
2026-08-24,2723.TW,美食-KY,77.5,布林縮窄突破、周1K,買,82,A強勢追蹤,9.05,>MA5,多頭,1871.8,tracking
2026-08-24,3006.TW,晶豪科,282.0,KD高腳、漲停、漲幅達標、下降趨勢線突破、周1K,買,100,A強勢追蹤,7.64,>MA5,糾結,17653.6,tracking
2026-08-24,3022.TW,威強電,93.8,3K反轉、Buy01、下降趨勢線突破,買,62,C觀察,0.59,>MA5,糾結,1842.4,tracking
2026-08-24,3029.TW,零壹,113.5,Buy01,買,55,C觀察,2.51,>MA5,多頭,1029.8,tracking
2026-08-24,3034.TW,聯詠,542.0,3K反轉、廣義上升三法、Buy01,買,98,A強勢追蹤,2.31,>MA5,多頭,3972.9,tracking
2026-08-24,3049.TW,精金,12.7,雙跳空、漲停、漲幅達標、單跳空,買,100,A強勢追蹤,7.19,>MA5,多頭,10111.5,tracking
2026-08-24,3094.TW,聯傑,38.0,3K反轉、Buy01、單跳空、下降趨勢線突破,買,70,B可追蹤,1.79,>MA5,糾結,2578.2,tracking
