scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-09-01,1101.TW,台泥,25.3,單跳空,買,56,C觀察,2.04,>MA5,糾結,108782.7,tracking
2026-09-01,1301.TW,台塑,67.8,廣義上升三法、周1K,買,92,A強勢追蹤,7.84,>MA5,多頭,69277.6,tracking
2026-09-01,1303.TW,南亞,242.5,廣義上升三法、三白兵、漲停、漲幅達標、周1K,買,100,A強勢追蹤,15.94,>MA5,多頭,173676.4,tracking
2026-09-01,1304.TW,台聚,12.65,廣義上升三法、布林縮窄突破、下降趨勢線突破,買,95,A強勢追蹤,3.99,>MA5,多頭,5160.3,tracking
2026-09-01,1305.TW,華夏,12.6,3K反轉、廣義上升三法、布林縮窄突破,買,100,A強勢追蹤,3.87,>MA5,多頭,3610.9,tracking
2026-09-01,1308.TW,亞聚,14.5,廣義上升三法、布林縮窄突破、Buy01,買,95,A強勢追蹤,3.9,>MA5,多頭,3858.8,tracking
2026-09-01,1309.TW,台達化,13.45,廣義上升三法,買,69,B可追蹤,2.02,>MA5,多頭,3118.8,tracking
2026-09-01,1312.TW,國喬,15.65,周1K,買,68,B可追蹤,13.26,>MA5,多頭,138997.2,tracking
2026-09-01,1314.TW,中石化,8.26,廣義上升三法、Buy01,買,69,B可追蹤,2.47,>MA5,多頭,27663.4,tracking
2026-09-01,1319.TW,東陽,83.2,KD高腳,買,58,C觀察,3.14,>MA5,糾結,1805.6,tracking
2026-09-01,1326.TW,台化,74.3,廣義上升三法、布林縮窄突破、漲幅達標、周1K,買,100,A強勢追蹤,11.18,>MA5,多頭,118795.9,tracking
2026-09-01,1402.TW,遠東新,29.4,3K反轉、Buy01,買,58,C觀察,1.89,>MA5,糾結,16119.1,tracking
2026-09-01,1409.TW,新纖,24.6,KD高腳,買,67,B可追蹤,2.84,MA5~10,多頭,11611.0,tracking
2026-09-01,1434.TW,福懋,18.15,廣義上升三法、Buy01、KD高腳,買,88,A強勢追蹤,1.66,>MA5,多頭,1823.0,tracking
2026-09-01,1455.TW,集盛,10.25,3K反轉、Buy01,買,75,A強勢追蹤,3.95,>MA5,多頭,3336.7,tracking
2026-09-01,1503.TW,士電,208.5,廣義上升三法、KD高腳,買,92,A強勢追蹤,2.26,>MA5,多頭,3533.8,tracking
2026-09-01,1514.TW,亞力,103.5,廣義上升三法,買,58,C觀察,1.32,MA5~10,多頭,2049.3,tracking
2026-09-01,1519.TW,華城,761.0,3K反轉、KD高腳,買,89,A強勢追蹤,2.57,>MA5,多頭,2986.6,tracking
