scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-08-28,1312.TW,國喬,14.15,雙跳空、周1K,買,79,A強勢追蹤,8.4,>MA5,多頭,212442.7,tracking
2026-08-28,1531.TW,高林股,13.7,廣義上升三法、布林縮窄突破、KD高腳、周1K,買,100,A強勢追蹤,2.22,>MA5,多頭,1210.1,tracking
2026-08-28,1563.TW,巧新,66.0,廣義上升三法,買,73,B可追蹤,5.74,>MA5,多頭,3214.6,tracking
2026-08-28,1582.TW,信錦,76.8,廣義上升三法,買,70,B可追蹤,3.87,>MA5,多頭,1068.2,tracking
2026-08-28,1608.TW,華榮,37.85,周1K,買,72,B可追蹤,6.6,>MA5,多頭,4478.1,tracking
2026-08-28,1612.TW,宏泰,35.5,單跳空、KD高腳,買,75,A強勢追蹤,4.32,>MA5,多頭,1847.7,tracking
2026-08-28,1711.TW,永光,43.9,廣義上升三法,買,73,B可追蹤,8.64,>MA5,多頭,7378.2,tracking
2026-08-28,1718.TW,中纖,10.75,KD高腳,買,68,B可追蹤,4.53,>MA5,多頭,14408.1,tracking
2026-08-28,1727.TW,中華化,98.1,廣義上升三法、周1K,買,88,A強勢追蹤,9.63,>MA5,多頭,7795.4,tracking
2026-08-28,1905.TW,華紙,13.7,廣義上升三法,買,63,C觀察,1.7,>MA5,多頭,1800.1,tracking
2026-08-28,2030.TW,彰源,22.8,巧妙點、上升趨勢線跌破,買,64,C觀察,6.77,MA5~10,多頭,2391.2,tracking
2026-08-28,2033.TW,佳大,25.65,廣義上升三法、漲停、KD高腳、漲幅達標、周1K,買,100,A強勢追蹤,14.92,>MA5,多頭,3683.2,tracking
2026-08-28,2103.TW,台橡,28.2,廣義上升三法,買,82,A強勢追蹤,5.88,>MA5,多頭,3816.3,tracking
2026-08-28,2301.TW,光寶科,317.5,廣義上升三法、周1K,買,83,A強勢追蹤,13.47,>MA5,多頭,49306.8,tracking
2026-08-28,2303.TW,聯電,130.0,廣義上升三法、布林縮窄突破、漲停、漲幅達標、下降趨勢線突破,買,100,A強勢追蹤,3.93,>MA5,糾結,325230.0,tracking
2026-08-28,2308.TW,台達電,1830.0,KD高腳,買,63,C觀察,3.37,>MA5,糾結,13377.2,tracking
2026-08-28,2327.TW,國巨*,597.0,單跳空、島狀反轉、KD高腳、漲幅達標,買,91,A強勢追蹤,5.47,>MA5,空頭,76059.8,tracking
2026-08-28,2338.TW,光罩,40.0,廣義上升三法,買,64,C觀察,2.71,>MA5,糾結,3233.0,tracking
2026-08-28,2340.TW,台亞,34.25,廣義上升三法,買,69,B可追蹤,6.76,>MA5,多頭,2865.7,tracking
2026-08-28,2342.TW,茂矽,40.55,KD高腳,買,77,A強勢追蹤,5.97,>MA5,多頭,2221.3,tracking
2026-08-28,2351.TW,順德,239.5,周1K,買,68,B可追蹤,17.24,>MA5,多頭,7404.4,tracking
2026-08-28,2354.TW,鴻準,63.9,周1K,買,64,C觀察,3.83,>MA5,多頭,19065.2,tracking
2026-08-28,2368.TW,金像電,1130.0,3K反轉、漲停、漲幅達標、下降趨勢線突破,買,100,A強勢追蹤,11.29,>MA5,多頭,10778.3,tracking
2026-08-28,2409.TW,友達,25.85,KD高腳,買,56,C觀察,1.54,>MA5,糾結,126476.8,tracking
2026-08-28,2421.TW,建準,163.5,廣義上升三法、周1K,買,92,A強勢追蹤,7.82,>MA5,多頭,8375.5,tracking
2026-08-28,2426.TW,鼎元,96.1,周1K,買,68,B可追蹤,18.05,>MA5,多頭,61785.0,tracking
2026-08-28,2449.TW,京元電子,270.0,廣義上升三法、漲幅達標,買,61,C觀察,7.41,>MA5,糾結,56232.0,tracking
2026-08-28,2461.TW,光群雷,18.85,廣義上升三法、周1K,買,80,A強勢追蹤,4.14,>MA5,多頭,1214.1,tracking
2026-08-28,2467.TW,志聖,610.0,下降趨勢線突破,買,59,C觀察,6.8,>MA5,多頭,2414.4,tracking
2026-08-28,2489.TW,瑞軒,40.2,廣義上升三法,買,73,B可追蹤,11.27,>MA5,多頭,49434.8,tracking
