scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-09-04,1303.TW,南亞,225.5,巧妙點,買,61,C觀察,4.46,MA5~10,多頭,67154.6,tracking
2026-09-04,1402.TW,遠東新,29.15,Buy01、KD高腳,買,72,B可追蹤,2.12,>MA5,多頭,5537.2,tracking
2026-09-04,1563.TW,巧新,66.0,廣義上升三法,買,73,B可追蹤,5.74,>MA5,多頭,3214.6,tracking
2026-09-04,1708.TW,東鹼,51.2,KD高腳,買,66,B可追蹤,1.1,>MA5,多頭,2350.0,tracking
2026-09-04,2030.TW,彰源,23.45,Buy01、KD高腳,買,66,B可追蹤,5.39,>MA5,糾結,2347.9,tracking
2026-09-04,2033.TW,佳大,26.05,廣義上升三法,買,74,B可追蹤,10.0,>MA5,多頭,1669.6,tracking
2026-09-04,2034.TW,允強,21.1,3K反轉、布林縮窄突破、KD高腳、下降趨勢線突破,買,100,A強勢追蹤,1.63,>MA5,多頭,3078.1,tracking
2026-09-04,2201.TW,裕隆,31.1,周1K,買,59,C觀察,4.67,MA5~10,多頭,5747.8,tracking
2026-09-04,2303.TW,聯電,130.0,廣義上升三法,買,70,B可追蹤,2.44,>MA5,多頭,142445.1,tracking
2026-09-04,2305.TW,全友,30.85,下降趨勢線突破、周1K,買,65,B可追蹤,4.73,>MA5,多頭,12752.3,tracking
2026-09-04,2312.TW,金寶,32.85,廣義上升三法,買,57,C觀察,1.77,>MA5,糾結,11304.5,tracking
2026-09-04,2313.TW,華通,249.5,廣義上升三法、KD高腳,買,83,A強勢追蹤,4.47,>MA5,多頭,51831.1,tracking
2026-09-04,2317.TW,鴻海,256.0,3K反轉、廣義上升三法,買,58,C觀察,-0.03,>MA5,糾結,49116.2,tracking
2026-09-04,2324.TW,仁寶,41.6,3K反轉、Buy01、漲幅達標、下降趨勢線突破,買,80,A強勢追蹤,3.97,>MA5,糾結,141185.2,tracking
2026-09-04,2351.TW,順德,239.5,漲幅達標,買,64,C觀察,7.7,>MA5,多頭,6710.0,tracking
2026-09-04,2352.TW,佳世達,29.25,廣義上升三法,買,57,C觀察,1.45,>MA5,糾結,7840.1,tracking
2026-09-04,2353.TW,宏碁,32.7,3K反轉、廣義上升三法、布林縮窄突破,買,100,A強勢追蹤,2.86,>MA5,多頭,40003.3,tracking
2026-09-04,2354.TW,鴻準,65.6,廣義上升三法、Buy01、周1K,買,89,A強勢追蹤,1.78,>MA5,多頭,12413.7,tracking
2026-09-04,2356.TW,英業達,67.5,廣義上升三法、Buy01、KD高腳,買,94,A強勢追蹤,2.0,>MA5,糾結,27012.6,tracking
2026-09-04,2357.TW,華碩,1025.0,廣義上升三法、周1K,買,87,A強勢追蹤,6.32,>MA5,多頭,5083.9,tracking
2026-09-04,2362.TW,藍天,49.3,廣義上升三法、KD高腳,買,71,B可追蹤,0.21,>MA5,糾結,2062.5,tracking
2026-09-04,2376.TW,技嘉,361.0,廣義上升三法、Buy01,買,64,C觀察,2.13,>MA5,糾結,7457.9,tracking
2026-09-04,2377.TW,微星,161.5,廣義上升三法、漲幅達標、周1K,買,83,A強勢追蹤,3.63,>MA5,糾結,23253.3,tracking
2026-09-04,2382.TW,廣達,345.0,3K反轉、廣義上升三法,買,90,A強勢追蹤,3.8,>MA5,多頭,20529.6,tracking
2026-09-04,2385.TW,群光,110.5,廣義上升三法、KD高腳,買,92,A強勢追蹤,2.21,>MA5,多頭,3400.1,tracking
2026-09-04,2388.TW,威盛,81.4,3K反轉、漲幅達標、下降趨勢線突破、周1K,買,82,A強勢追蹤,3.22,>MA5,糾結,14227.7,tracking
2026-09-04,2395.TW,研華,711.0,廣義上升三法、Buy01、周1K,買,87,A強勢追蹤,3.68,>MA5,多頭,5016.2,tracking
2026-09-04,2399.TW,映泰,47.3,3K反轉、下降趨勢線突破,買,60,C觀察,2.36,>MA5,糾結,11733.7,tracking
